name,lat,lon,type,amenity,tags
59A - Neighbourhood Park,49.14331875284642,-122.68497456871899,nature,nature,{}
Five Corners Park,49.088982844774364,-122.62582517248774,nature,nature,{}
Alder Park,49.10688633064106,-122.83602031879467,nature,nature,{}
ƛ̓éxətəm (tla-hut-um) Regional Park,49.23745652209419,-122.80226789020664,nature,nature,{}
Donald Pathway,49.25723870283313,-122.78065663756628,nature,nature,{}
Donald Pathway,49.259949403150436,-122.7808023045392,nature,nature,{}
Serpentine Heights Park,49.1709464041666,-122.77479148559445,nature,nature,{}
Ambleside Park,49.324303433359134,-123.14740348777084,nature,nature,{}
Langley Lane Greenway,49.17553182042256,-122.63175468818967,nature,nature,{}
South Surrey Athletic Park,49.04018131734589,-122.816682800068,nature,nature,{}
MacInnis Park,49.25799939523872,-123.06898637124222,nature,nature,{}
Bothwell Park,49.17388549561408,-122.76137069700792,nature,nature,{}
Eagle Mountain Park,49.31297124155805,-122.80585900685263,nature,nature,{}
Ebisu Park,49.20538613703555,-123.13249296721926,nature,nature,{}
Burnaby Civic Square,49.22781799281897,-123.00601684173597,nature,nature,{}
Fraser River Park,49.20811868397501,-123.15087866592266,nature,nature,{}
BC Parkway,49.2195736094394,-122.98332959616458,nature,nature,{}
Vanier Park,49.27612480709743,-123.14307026053372,nature,nature,{}
Burnaby Fraser Foreshore Park,49.19639464780075,-123.00487777083053,nature,nature,{}
Deer Lake Park,49.23615610200724,-122.97877635477931,nature,nature,{}
Durant Linear Park,49.28629566106438,-122.80623722914521,nature,nature,{}
Hamersley Park,49.30891624606771,-123.07049155504173,nature,nature,{}
Willingdon Linear Park,49.2750263636272,-123.00297528344426,nature,nature,{}
Royal Oakland Park,49.231744199971,-122.98607886259359,nature,nature,{}
North Delta Community Park,49.15750695828078,-122.90864051735723,nature,nature,{}
Aberdeen Park,49.23466147131591,-123.02734312678272,nature,nature,{}
Kelvin Grove Beach Park,49.450246397181225,-123.23977835687712,nature,nature,{}
Byrne Creek Ravine Park,49.209202992488734,-122.96764698356986,nature,nature,{}
Falaise Park,49.25574803477646,-123.02988424555947,nature,nature,{}
Andy Livingstone Park,49.27852752250447,-123.10423877182218,nature,nature,{}
Barbara Creek Park,49.06713928943735,-122.80657514523388,nature,nature,{}
103F - Greenbelt,49.06894450048343,-122.81934446820766,nature,nature,{}
Highland Park,49.21715269328051,-122.96483424506285,nature,nature,{}
Greenwood Park,49.330378723737816,-123.0593043502537,nature,nature,{}
Moody Park,49.21181132108157,-122.92723461138499,nature,nature,{}
Riley Park,49.24232317739085,-123.10430645332853,nature,nature,{}
Fraserview Park,49.215369063032426,-123.06727215046777,nature,nature,{}
Central Park,49.22727554295214,-123.01800946441804,nature,nature,{}
Carnarvon Park,49.25656098647092,-123.17160684111849,nature,nature,{}
Connaught Park,49.26205553059951,-123.16010507965895,nature,nature,{}
Queen Elizabeth Park,49.24087497246729,-123.11178403934062,nature,nature,{}
Ray Perrault Park,49.32089658805891,-123.05879245267002,nature,nature,{}
Michael Park,49.317362144742006,-123.04898624698676,nature,nature,{}
Ladner Lions Park,49.09191059489014,-123.08251506560667,nature,nature,{}
Norgate Park,49.322798816337816,-123.11883243562923,nature,nature,{}
Mountain View Park,49.092553572643276,-123.05267647113708,nature,nature,{}
Kensington Park,49.087840086578396,-123.04362809032729,nature,nature,{}
Dugald Morrison Park,49.083829004541386,-123.06334519093564,nature,nature,{}
Cloverley Park,49.311006607123424,-123.05007226353939,nature,nature,{}
Harbourview Park,49.30271959409622,-123.03811137799654,nature,nature,{}
Lynnmouth Park,49.30625213769626,-123.03867125673281,nature,nature,{}
Anderwood Park,49.32009593338749,-123.11423938115045,nature,nature,{}
Welch Park,49.31786218879945,-123.11470715994979,nature,nature,{}
Bell Park,49.09177938391773,-123.06019950726137,nature,nature,{}
High Place Park,49.30871565009363,-123.05332260260275,nature,nature,{}
Kealy Woods Park,49.32767335845152,-123.05684264335075,nature,nature,{}
Victoria Park,49.316868069995394,-123.07348809377733,nature,nature,{}
Association Park,49.08806813500298,-123.05604324425488,nature,nature,{}
Paterson Park,49.08903305179782,-123.06011323679648,nature,nature,{}
Hay Park,49.33551092471669,-123.16458378858927,nature,nature,{}
Seymour River Heritage Park,49.3084933726536,-123.01994838392433,nature,nature,{}
Memorial Park,49.08772180050928,-123.08493970941339,nature,nature,{}
Maple Crescent Park,49.084702003449486,-123.07408176027222,nature,nature,{}
Carisbrook Park,49.34081222311231,-123.07084290540047,nature,nature,{}
Braemar Park,49.34517912807932,-123.05230001952535,nature,nature,{}
William Griffin Park,49.33413302429105,-123.09272783961309,nature,nature,{}
Delbrook Park,49.33749496899905,-123.08926048705233,nature,nature,{}
Mosquito Creek Park,49.348028984288455,-123.08643019433948,nature,nature,{}
Evergreen Park,49.34053593825627,-123.08335328009483,nature,nature,{}
Eldon Park,49.34613147289756,-123.10375119116843,nature,nature,{}
Mackay Creek Park,49.34747114063114,-123.09855923768507,nature,nature,{}
Albert Airey Neighbourhood Park,49.1865263062016,-123.09979200887604,nature,nature,{}
Leslie Park,49.09390581045672,-123.06974748667236,nature,nature,{}
Dennison Park,49.017056514637616,-123.07823134556092,nature,nature,{}
Grauer Park,49.035876966585406,-123.06685513277168,nature,nature,{}
Diefenbaker Park,49.00561901361308,-123.07145709616128,nature,nature,{}
Fred Gingell Park,49.00757116538484,-123.09114163910071,nature,nature,{}
Pebble Hill Park,49.00904621291744,-123.08257080321758,nature,nature,{}
Boundary Bay Regional Park,49.018454008384715,-123.04875248586531,nature,nature,{}
John Oliver Park,49.096230622100116,-122.89876081128531,nature,nature,{}
Wade Road Park,49.12149424156666,-122.89511316008786,nature,nature,{}
Sunshine Hills Park,49.12479067255948,-122.91236968809869,nature,nature,{}
Westview Park,49.12270883374843,-122.92175311953783,nature,nature,{}
Deas Island Regional Park,49.12054318597868,-123.06638404533048,nature,nature,{}
Ernie Burnett Park,49.10313289783933,-123.07842899812665,nature,nature,{}
Wellington Point Park,49.084712937673466,-123.12229721034926,nature,nature,{}
Port Guichon Park,49.08380614444406,-123.09969545361449,nature,nature,{}
Stevens Mini Park,49.086920946805435,-123.10045490854858,nature,nature,{}
Kirkland Mini Park,49.0804977,-123.08160565,nature,nature,{}
Bentley Drive Kiwanis Park,49.097710706152014,-123.07437660027813,nature,nature,{}
Hawthorne Park,49.096517475366426,-123.06900264919268,nature,nature,{}
Rotary Park,49.08529174570775,-123.05854373185511,nature,nature,{}
Magee Park,49.08907871739086,-123.0806419869953,nature,nature,{}
Cory Drive Park,49.12984500416686,-122.89906969044239,nature,nature,{}
Gunderson Park,49.141860384053125,-122.89739975707802,nature,nature,{}
Mackie Park,49.150853561598474,-122.9197280636436,nature,nature,{}
Westham Island Park,49.09059642911582,-123.15488673251312,nature,nature,{}
